,language,percentage,survey_year
0,JavaScript,60.2255627433642,2020
1,HTML/CSS,56.1285118133445,2020
2,SQL,48.731791315679246,2020
3,Python,39.2283706427142,2020
4,Java,35.79528707280371,2020
5,Bash/Shell/PowerShell,29.444160034749693,2020
6,C#,27.987465289089524,2020
7,PHP,23.280743395231223,2020
8,TypeScript,22.61522470951428,2020
9,C++,21.264020105179878,2020
10,C,19.371402863747072,2020
11,Go,7.815578411752842,2020
12,Kotlin,6.9313228153457125,2020
13,Ruby,6.27666340888289,2020
14,Assembly,5.511859884271109,2020
15,VBA,5.428088301453593,2020
16,Swift,5.269853089464948,2020
17,R,5.100758598222181,2020
18,Rust,4.543832705046462,2020
19,Objective-C,3.6301019220924284,2020
20,Dart,3.5370223856285197,2020
21,Scala,3.183320147065668,2020
22,Perl,2.786180791486325,2020
23,Haskell,1.8957198926482681,2020
24,Julia,0.8051379904128078,2020
